time,viseme,voice,teacher_sil,teacher_PP,teacher_FF,teacher_TH,teacher_DD,teacher_kk,teacher_CH,teacher_SS,teacher_nn,teacher_RR,teacher_aa,teacher_E,teacher_I,teacher_O,teacher_U,avr_sil,avr_PP,avr_FF,avr_TH,avr_DD,avr_kk,avr_CH,avr_SS,avr_nn,avr_RR,avr_aa,avr_E,avr_I,avr_O,avr_U
41.87733,14,0.57524,0.00952,0.08091,0.03646,0.00359,0.05393,0.01366,0.00186,0.00548,0.27297,0.03551,0.00254,0.00057,0.17191,0.00162,0.30946,0.00003,0.02911,0.01526,0.01422,0.03586,0.06847,0.04141,0.02888,0.07006,0.00721,0.03023,0.04550,0.57916,0.00167,0.03293
41.89867,8,0.56805,0.00817,0.07752,0.02532,0.00266,0.04514,0.01749,0.00148,0.00386,0.41852,0.04820,0.00865,0.00120,0.11994,0.00130,0.22057,0.00048,0.02343,0.01185,0.02022,0.02957,0.05694,0.03998,0.02353,0.06953,0.01509,0.03553,0.04259,0.46861,0.00615,0.15650
41.92000,8,0.56465,0.00631,0.13264,0.01754,0.00199,0.03275,0.01301,0.00104,0.00272,0.48962,0.03383,0.01233,0.00123,0.08426,0.01331,0.15743,0.00134,0.03771,0.00701,0.03265,0.01762,0.03352,0.03534,0.01323,0.06840,0.03143,0.04726,0.03575,0.23702,0.01614,0.38558
41.94133,8,0.62184,0.00446,0.09522,0.01223,0.00154,0.02410,0.00947,0.00074,0.00191,0.47766,0.02371,0.13225,0.00208,0.06391,0.03165,0.11909,0.01031,0.04441,0.00914,0.02957,0.01693,0.04463,0.01872,0.01677,0.29729,0.02431,0.06669,0.03009,0.11847,0.01460,0.25806
41.96267,8,0.67906,0.00314,0.06604,0.00846,0.00109,0.01680,0.00680,0.00053,0.00132,0.39400,0.01664,0.10782,0.00159,0.04481,0.23767,0.09328,0.01623,0.04679,0.01125,0.02575,0.01815,0.05540,0.00818,0.02060,0.45166,0.01722,0.07813,0.02724,0.07110,0.01216,0.14014
41.98400,13,0.71116,0.00217,0.04560,0.00584,0.00075,0.01160,0.00470,0.00037,0.00091,0.27425,0.01162,0.07455,0.00110,0.03095,0.46725,0.06834,0.01877,0.04759,0.01223,0.02391,0.01885,0.06041,0.00369,0.02241,0.51842,0.01391,0.08289,0.02611,0.05415,0.01096,0.08568
42.00533,13,0.71358,0.00150,0.03147,0.00403,0.00052,0.00800,0.00324,0.00026,0.00063,0.18936,0.00810,0.05146,0.00076,0.02136,0.63135,0.04797,0.01972,0.04785,0.01261,0.02320,0.01914,0.06234,0.00204,0.02311,0.54325,0.01263,0.08464,0.02571,0.04844,0.01048,0.06484
42.02666,13,0.70259,0.00104,0.02176,0.00279,0.00036,0.00552,0.00224,0.00018,0.00043,0.13586,0.00581,0.03585,0.00052,0.01474,0.72311,0.04980,0.02494,0.03939,0.01136,0.01255,0.02346,0.05269,0.00328,0.01233,0.32796,0.04080,0.08788,0.01359,0.03769,0.26996,0.04213
42.04800,13,0.72867,0.00072,0.01503,0.00193,0.00025,0.00381,0.00155,0.00012,0.00030,0.10286,0.00411,0.03338,0.00037,0.01017,0.72164,0.10376,0.02834,0.03366,0.01047,0.00546,0.02634,0.04596,0.00431,0.00498,0.17994,0.05993,0.08986,0.00547,0.03110,0.44487,0.02932
42.06933,13,0.74701,0.00051,0.01038,0.00134,0.00018,0.00264,0.00107,0.00008,0.00021,0.07405,0.00475,0.19347,0.00032,0.00704,0.61621,0.08776,0.02980,0.03117,0.01008,0.00240,0.02758,0.04302,0.00478,0.00179,0.11560,0.06822,0.09070,0.00197,0.02833,0.52053,0.02405
42.09067,13,0.72204,0.00035,0.00717,0.00093,0.00013,0.00199,0.00079,0.00006,0.00016,0.07918,0.01629,0.36353,0.00063,0.00489,0.46272,0.06118,0.03034,0.03025,0.00993,0.00127,0.02804,0.04192,0.00496,0.00061,0.09162,0.07130,0.09100,0.00066,0.02731,0.54865,0.02213
42.11200,13,0.70139,0.00024,0.00498,0.00064,0.00009,0.00151,0.00090,0.00005,0.00012,0.31171,0.01262,0.29990,0.00060,0.00341,0.32084,0.04240,0.03053,0.02993,0.00988,0.00088,0.02820,0.04155,0.00502,0.00020,0.08336,0.07237,0.09111,0.00022,0.02696,0.55833,0.02148
42.13333,8,0.68241,0.00017,0.00356,0.00044,0.00008,0.00113,0.00168,0.00003,0.00008,0.52326,0.00872,0.20730,0.00045,0.00243,0.22139,0.02929,0.03057,0.02987,0.00987,0.00080,0.02823,0.04147,0.00503,0.00011,0.08162,0.07259,0.09113,0.00012,0.02689,0.56036,0.02135
42.15467,8,0.68169,0.00012,0.00362,0.00033,0.00096,0.00412,0.01740,0.00005,0.00007,0.64747,0.00602,0.14371,0.00034,0.00276,0.15278,0.02024,0.03060,0.02981,0.00986,0.00072,0.02826,0.04140,0.00505,0.00003,0.08009,0.07279,0.09115,0.00004,0.02682,0.56216,0.02123
42.17600,8,0.66939,0.00011,0.00664,0.00028,0.00477,0.00980,0.02268,0.00010,0.00008,0.71825,0.00418,0.09987,0.00036,0.01306,0.10546,0.01436,0.02821,0.03398,0.01054,0.00580,0.02620,0.04643,0.00416,0.00542,0.18935,0.05882,0.08985,0.00589,0.03117,0.43543,0.02875
42.19733,8,0.62245,0.00019,0.00799,0.00081,0.00779,0.08240,0.03135,0.00092,0.00057,0.70405,0.00289,0.06894,0.00025,0.00914,0.07277,0.00993,0.02377,0.04173,0.01180,0.01523,0.02238,0.05580,0.00252,0.01542,0.39240,0.03287,0.08745,0.01676,0.03925,0.19990,0.04274
